timestamp_utc,symbol,side,last,entry,stop,target,units,rr
2025-09-07T07:00:19+00:00,OPEN,long,6.64,5.01,4.15,6.72,11,1.99
2025-09-07T07:00:19+00:00,UUUU,long,11.55,10.58,9.26,13.23,7,2.01
2025-09-07T07:00:19+00:00,RH,long,251.09,243.71,224.3,282.53,0,2.0
2025-09-07T07:00:19+00:00,BZ,long,24.0,22.84,21.47,25.58,7,2.0
2025-09-07T07:00:19+00:00,WDAY,long,231.12,221.27,210.17,243.47,0,2.0
2025-09-07T07:00:19+00:00,PGY,long,37.24,33.76,28.42,44.44,1,2.0
2025-09-07T07:00:19+00:00,ZM,long,83.66,82.47,79.1,89.2,2,2.0
2025-09-07T07:00:19+00:00,ENPH,long,39.67,38.18,34.9,44.74,3,2.0
2025-09-07T07:00:19+00:00,CART,long,45.3,43.37,40.17,49.76,3,2.0
2025-09-07T07:00:19+00:00,NKTR,long,40.11,27.03,24.58,31.93,4,2.0
2025-09-07T07:00:19+00:00,INTU,long,673.03003,662.66,631.72,724.54,0,2.0
2025-09-07T07:00:19+00:00,UI,long,576.71002,510.23,465.38,599.93,0,2.0
2025-09-08T00:10:23+00:00,OPEN,long,6.64,5.01,4.15,6.72,11,1.99
2025-09-08T00:10:24+00:00,UUUU,long,11.55,10.58,9.26,13.23,7,2.01
2025-09-08T00:10:25+00:00,RH,long,251.09,243.71,224.3,282.53,0,2.0
2025-09-08T00:10:25+00:00,BZ,long,24.0,22.84,21.47,25.58,7,2.0
2025-09-08T00:10:26+00:00,WDAY,long,231.12,221.27,210.17,243.47,0,2.0
2025-09-08T00:10:27+00:00,PGY,long,37.24,33.76,28.42,44.44,1,2.0
2025-09-08T00:10:27+00:00,ZM,long,83.66,82.47,79.1,89.2,2,2.0
2025-09-08T00:10:28+00:00,ENPH,long,39.67,38.18,34.9,44.74,3,2.0
2025-09-08T00:10:29+00:00,CART,long,45.3,43.37,40.17,49.76,3,2.0
2025-09-08T00:10:29+00:00,NKTR,long,40.11,27.03,24.58,31.93,4,2.0
2025-09-08T00:10:30+00:00,INTU,long,673.03003,662.66,631.72,724.54,0,2.0
2025-09-08T00:10:31+00:00,UI,long,576.71002,510.23,465.38,599.93,0,2.0
2025-09-08T00:53:33+00:00,BEAM,long,20.91,20.88,19.21,24.22,5,2.0
2025-09-08T00:53:33+00:00,CRGY,long,8.77,8.76,8.04,10.2,13,2.0
2025-09-08T00:53:34+00:00,BBWI,long,29.44,29.41,27.45,33.33,5,2.0
2025-09-08T00:53:35+00:00,KVUE,long,18.655,18.62,17.73,20.4,11,2.0
2025-09-08T00:53:35+00:00,MENS,long,53.12,52.31,42.89,71.15,1,2.0
2025-09-08T00:53:36+00:00,XRP-USD,long,2.87437,2.87,2.85,2.92,403,2.5
2025-09-20T07:04:31+00:00,NE,long,28.29,28.24,26.45,31.82,5,2.0
2025-09-20T07:04:31+00:00,QTWO,long,78.26,78.18,74.08,86.39,2,2.0
2025-09-20T07:04:31+00:00,ORLA,long,10.48,10.22,9.25,12.16,10,2.0
2025-09-20T07:04:31+00:00,OTF,long,14.53,14.51,13.82,15.9,14,2.01
2025-09-20T07:04:31+00:00,LEU,long,294.97,294.49,267.6,348.27,0,2.0
2025-09-21 01:14:02,SPY,LONG,663.7,666.08,660.97,15,0,2.73,40.95,OPEN
2025-09-21 01:14:04,SPY,LONG,663.7,666.08,660.97,15,0,2.73,40.95,OPEN
2025-09-27 00:09:03,SPY,LONG,663.7,666.08,660.97,15,0,2.73,40.95,OPEN
2025-09-27 00:09:53,IWM,LONG,241.34,245.73,238.04,30,0,3.3,99.0,OPEN
2025-09-27 00:11:50,IWM,LONG,241.34,245.73,238.04,30,0,3.3,99.0,OPEN
2025-09-27 00:12:15,AAPL,LONG,241.34,245.73,238.04,0,0,3.3,0.0,OPEN
2025-09-27 00:12:35,AAPL,LONG,255.46,259.36,255.62,0,0,0.16,0.0,OPEN
2025-09-27 00:12:42,AAPL,LONG,255.46,259.36,255.62,0,0,0.16,0.0,OPEN
2025-09-27 00:12:44,AAPL,LONG,255.46,259.36,255.62,0,0,0.16,0.0,OPEN
2025-09-27 00:12:45,AAPL,LONG,255.46,259.36,255.62,0,0,0.16,0.0,OPEN
2025-09-27 00:12:46,AAPL,LONG,255.46,259.36,255.62,0,0,0.16,0.0,OPEN
2025-09-27 00:13:14,AAPL,LONG,255.46,259.36,255.62,0,0,0.16,0.0,OPEN
2025-09-27 00:37:43,MSFT,LONG,255.46,259.36,255.62,78,0,0.16,12.48,OPEN
2025-09-27 00:47:40,LUNR,LONG,255.46,259.36,255.62,78,0,0.16,12.48,OPEN
2025-09-27 00:47:41,LUNR,LONG,255.46,259.36,255.62,78,0,0.16,12.48,OPEN
2025-09-27 00:56:33,RGTI,LONG,255.46,259.36,255.62,78,0,0.16,12.48,OPEN
2025-09-27 01:02:11,SPY,LONG,255.46,259.36,255.62,78,0,0.16,12.48,OPEN
